id,segment,start_sec,end_sec,score
UXR_bqyAy4E,89,629.23,636.3,0.03389687266091641
UXR_bqyAy4E,90,636.3,643.37,0.0344310381563544
UXR_bqyAy4E,91,643.37,650.44,0.01996674133583996
UXR_bqyAy4E,92,650.44,657.51,0.005868738610896607
UXR_bqyAy4E,93,657.51,664.58,0.005340661069621598
UXR_bqyAy4E,94,664.58,671.65,0.010776469384073771
UXR_bqyAy4E,95,671.65,678.72,0.022053505710519047
UXR_bqyAy4E,96,678.72,685.79,0.024384929743122875
UXR_bqyAy4E,97,685.79,692.86,0.023553077721765136
UXR_bqyAy4E,98,692.86,699.93,0.005293026764473543
UXR_bqyAy4E,99,699.93,707.0,0.0
EJMaCyibnsM,0,0.0,8.0,1.0
EJMaCyibnsM,1,8.0,16.0,0.13453085846741025
EJMaCyibnsM,2,16.0,24.0,0.10217485112339575
EJMaCyibnsM,3,24.0,32.0,0.08864879528661028
EJMaCyibnsM,4,32.0,40.0,0.09198368583955954
EJMaCyibnsM,5,40.0,48.0,0.1061688076006882
EJMaCyibnsM,6,48.0,56.0,0.1321776842322491
EJMaCyibnsM,7,56.0,64.0,0.18755545957273234
EJMaCyibnsM,8,64.0,72.0,0.31507274063259333
EJMaCyibnsM,9,72.0,80.0,0.33198064717624076
EJMaCyibnsM,10,80.0,88.0,0.29071066157132697
EJMaCyibnsM,11,88.0,96.0,0.27459537599878897
EJMaCyibnsM,12,96.0,104.0,0.3040399276079243
EJMaCyibnsM,13,104.0,112.0,0.3374314570885125
EJMaCyibnsM,14,112.0,120.0,0.3473013189695662
EJMaCyibnsM,15,120.0,128.0,0.4754192471532644
EJMaCyibnsM,16,128.0,136.0,0.7515574994701529
EJMaCyibnsM,17,136.0,144.0,0.8352014125614297
EJMaCyibnsM,18,144.0,152.0,0.4086143411106606
EJMaCyibnsM,19,152.0,160.0,0.2599800475624248
EJMaCyibnsM,20,160.0,168.0,0.17658058559847034
EJMaCyibnsM,21,168.0,176.0,0.14088728895101202
EJMaCyibnsM,22,176.0,184.0,0.14411746481891038
EJMaCyibnsM,23,184.0,192.0,0.21787444799676842
EJMaCyibnsM,24,192.0,200.0,0.40374100270206326
EJMaCyibnsM,25,200.0,208.0,0.5742128564833853
EJMaCyibnsM,26,208.0,216.0,0.5090408721620614
EJMaCyibnsM,27,216.0,224.0,0.3571877137771054
EJMaCyibnsM,28,224.0,232.0,0.23587382291929337
EJMaCyibnsM,29,232.0,240.0,0.1964621677744404
EJMaCyibnsM,30,240.0,248.0,0.24119085636167636
EJMaCyibnsM,31,248.0,256.0,0.40024764700105814
EJMaCyibnsM,32,256.0,264.0,0.5336728660097461
EJMaCyibnsM,33,264.0,272.0,0.45914486906715657
EJMaCyibnsM,34,272.0,280.0,0.2929683655368048
EJMaCyibnsM,35,280.0,288.0,0.20143311687623935
EJMaCyibnsM,36,288.0,296.0,0.17593930733164065
EJMaCyibnsM,37,296.0,304.0,0.1581701386488857
EJMaCyibnsM,38,304.0,312.0,0.09900110124790013
EJMaCyibnsM,39,312.0,320.0,0.06323694920121793
EJMaCyibnsM,40,320.0,328.0,0.07003454680462262
EJMaCyibnsM,41,328.0,336.0,0.49606791283354024
EJMaCyibnsM,42,336.0,344.0,0.11270983116080961
EJMaCyibnsM,43,344.0,352.0,0.09907620059030667
EJMaCyibnsM,44,352.0,360.0,0.0906495008144865
EJMaCyibnsM,45,360.0,368.0,0.11270010699534322
EJMaCyibnsM,46,368.0,376.0,0.13840044895752332
EJMaCyibnsM,47,376.0,384.0,0.15269035921141041
EJMaCyibnsM,48,384.0,392.0,0.13622850954818944
EJMaCyibnsM,49,392.0,400.0,0.11852776061031003
EJMaCyibnsM,50,400.0,408.0,0.07665066970715058
EJMaCyibnsM,51,408.0,416.0,0.13987394603054953
EJMaCyibnsM,52,416.0,424.0,0.3377818960838405
EJMaCyibnsM,53,424.0,432.0,0.22180363821070778
EJMaCyibnsM,54,432.0,440.0,0.1794651384239567
EJMaCyibnsM,55,440.0,448.0,0.09188747749280089
EJMaCyibnsM,56,448.0,456.0,0.07427542696743947
EJMaCyibnsM,57,456.0,464.0,0.054031209072472934
EJMaCyibnsM,58,464.0,472.0,0.030008811533162854
EJMaCyibnsM,59,472.0,480.0,0.018011257963436472
EJMaCyibnsM,60,480.0,488.0,0.02051285949843013
EJMaCyibnsM,61,488.0,496.0,0.016268049075187578
EJMaCyibnsM,62,496.0,504.0,0.036176792487526775
EJMaCyibnsM,63,504.0,512.0,0.008307149741556776
EJMaCyibnsM,64,512.0,520.0,0.013923805572636914
EJMaCyibnsM,65,520.0,528.0,0.021368770578742105
EJMaCyibnsM,66,528.0,536.0,0.06523186082405345
EJMaCyibnsM,67,536.0,544.0,0.08123888894157939
EJMaCyibnsM,68,544.0,552.0,0.09636941362839391
EJMaCyibnsM,69,552.0,560.0,0.1873499420111294
EJMaCyibnsM,70,560.0,568.0,0.18801579824456485
EJMaCyibnsM,71,568.0,576.0,0.24541896779109143
EJMaCyibnsM,72,576.0,584.0,0.18527911916110454
EJMaCyibnsM,73,584.0,592.0,0.15106437541463785
EJMaCyibnsM,74,592.0,600.0,0.1882416498295909
EJMaCyibnsM,75,600.0,608.0,0.2584077588728766
EJMaCyibnsM,76,608.0,616.0,0.29179629914131006
EJMaCyibnsM,77,616.0,624.0,0.29655984858496415
EJMaCyibnsM,78,624.0,632.0,0.3399263421221214
EJMaCyibnsM,79,632.0,640.0,0.26491674988793223
EJMaCyibnsM,80,640.0,648.0,0.21954135816736348
EJMaCyibnsM,81,648.0,656.0,0.2562171461135389
EJMaCyibnsM,82,656.0,664.0,0.23321958704513832
EJMaCyibnsM,83,664.0,672.0,0.21899252405420866
EJMaCyibnsM,84,672.0,680.0,0.17376205376736498
EJMaCyibnsM,85,680.0,688.0,0.1740552179816537
EJMaCyibnsM,86,688.0,696.0,0.24224106623204752
EJMaCyibnsM,87,696.0,704.0,0.09813664692544215
EJMaCyibnsM,88,704.0,712.0,0.06023042913904675
EJMaCyibnsM,89,712.0,720.0,0.06917664291620748
EJMaCyibnsM,90,720.0,728.0,0.10414979776134581
EJMaCyibnsM,91,728.0,736.0,0.0383817054901974
EJMaCyibnsM,92,736.0,744.0,0.018532321926635065
EJMaCyibnsM,93,744.0,752.0,0.0719610386825826
EJMaCyibnsM,94,752.0,760.0,0.016045297413877568
EJMaCyibnsM,95,760.0,768.0,0.00482440389850835
EJMaCyibnsM,96,768.0,776.0,0.0
EJMaCyibnsM,97,776.0,784.0,0.004587628772768617
EJMaCyibnsM,98,784.0,792.0,0.008521081381817567
EJMaCyibnsM,99,792.0,800.0,0.20679303259669427
6quOC6McLZU,0,0.0,1.16,1.0
6quOC6McLZU,1,1.16,2.32,0.7864621104924197
6quOC6McLZU,2,2.32,3.48,0.774343905511652
6quOC6McLZU,3,3.48,4.64,0.7884972715060853
6quOC6McLZU,4,4.64,5.8,0.7436793027794876
6quOC6McLZU,5,5.8,6.96,0.6630416707063956
6quOC6McLZU,6,6.96,8.12,0.6012041535497918
6quOC6McLZU,7,8.12,9.28,0.6437679397803784
6quOC6McLZU,8,9.28,10.44,0.6410753952789155
6quOC6McLZU,9,10.44,11.6,0.620322272344689
6quOC6McLZU,10,11.6,12.76,0.6408811792157287
6quOC6McLZU,11,12.76,13.92,0.6514356856672239
6quOC6McLZU,12,13.92,15.08,0.7731422384857902
6quOC6McLZU,13,15.08,16.24,0.7432452478243078
6quOC6McLZU,14,16.24,17.4,0.7007786095054097
6quOC6McLZU,15,17.4,18.56,0.6920680788916217
6quOC6McLZU,16,18.56,19.72,0.8745741497512626
6quOC6McLZU,17,19.72,20.88,0.8760537012798525
6quOC6McLZU,18,20.88,22.04,0.8135408545926518
6quOC6McLZU,19,22.04,23.2,0.7482830609590135
6quOC6McLZU,20,23.2,24.36,0.7958069738990311
6quOC6McLZU,21,24.36,25.52,0.754606847640644
6quOC6McLZU,22,25.52,26.68,0.6834069198355801
6quOC6McLZU,23,26.68,27.84,0.6645616606514273
6quOC6McLZU,24,27.84,29.0,0.6515106602460312
6quOC6McLZU,25,29.0,30.16,0.718802099449721
6quOC6McLZU,26,30.16,31.32,0.7270796119908021
6quOC6McLZU,27,31.32,32.48,0.657293752598157
6quOC6McLZU,28,32.48,33.64,0.6530133422297849
6quOC6McLZU,29,33.64,34.8,0.7030975572758799
6quOC6McLZU,30,34.8,35.96,0.6607628423116064
6quOC6McLZU,31,35.96,37.12,0.6071340046519234
6quOC6McLZU,32,37.12,38.28,0.541497070954072
6quOC6McLZU,33,38.28,39.44,0.5152459983477576
6quOC6McLZU,34,39.44,40.6,0.4664027322212081
6quOC6McLZU,35,40.6,41.76,0.4085712104985228
6quOC6McLZU,36,41.76,42.92,0.3750207644438962
6quOC6McLZU,37,42.92,44.08,0.3643497283544889
6quOC6McLZU,38,44.08,45.24,0.4504921295959323
6quOC6McLZU,39,45.24,46.4,0.4369151506161273
6quOC6McLZU,40,46.4,47.56,0.44103233175521317
6quOC6McLZU,41,47.56,48.72,0.4626547211225577
6quOC6McLZU,42,48.72,49.88,0.5605166061538566
